,mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_4,explode
22066,26,20,15840,9528,10,4,2856,3496,2,0,616,224,19,17,12960,8760,0.9,0.8,0.58,0.9,0
22067,15,12,12576,8760,15,10,3752,7992,8,4,3880,1992,19,17,12216,10296,0.98,0.87,0.75,0.96,0
22068,2,0,2216,1256,13,8,4968,5736,2,0,744,600,20,17,5160,904,0.83,0.8,0.69,0.62,0
22069,20,17,7992,11832,8,4,3880,3496,22,19,4136,696,26,20,26416,1992,0.95,0.82,0.59,0.78,0
22070,15,10,7992,2536,15,10,6456,4392,8,2,968,1416,15,12,11832,4392,0.71,0.75,0.69,0.82,0
22071,15,11,2280,5544,8,4,2088,3368,8,2,4776,1384,6,1,1032,1608,0.76,0.77,0.77,0.75,0
22072,24,20,4264,19080,13,7,208,3112,20,17,776,9528,8,2,5992,568,0.99,0.64,0.81,0.72,0
22073,11,6,1736,1864,13,8,4136,680,18,14,1928,9144,15,10,14112,6712,0.65,0.6,0.83,0.93,0
22074,11,6,2792,1544,22,19,5992,11064,11,6,4776,2984,20,17,7224,6200,0.65,0.85,0.74,0.76,0
22075,5,0,3112,1032,8,4,5352,2728,10,4,7224,2280,15,9,5992,4968,0.77,0.8,0.79,0.76,0
22076,13,7,8504,1800,15,9,11064,6968,18,14,14688,1000,2,0,32,808,0.71,0.89,0.71,0.7,0
22077,2,0,840,1288,3,0,2792,488,18,15,4264,840,22,19,12576,5736,0.76,0.69,0.61,0.77,0
22078,8,2,5544,2216,8,4,5544,1864,13,7,680,3240,5,0,2664,392,0.82,0.76,0.67,0.69,0
22079,13,7,3880,2088,5,0,2536,288,20,18,2344,9912,15,12,8248,2792,0.67,0.64,0.8,0.7,0
22080,19,17,12576,10296,18,15,5992,5160,11,6,1224,3496,7,2,4392,1544,0.95,0.73,0.71,0.78,0
22081,18,14,11448,4136,20,18,18336,9144,20,17,776,14688,8,2,2792,1672,0.76,0.95,0.91,0.76,0
22082,15,11,9528,8760,24,20,10680,7224,5,0,2984,1384,15,11,3496,5736,0.93,0.78,0.81,0.79,0
22083,8,4,1928,3112,20,18,15264,7224,15,12,12216,7224,11,6,5736,4264,0.79,0.89,0.94,0.82,0
22084,6,1,1128,600,20,18,17568,5544,4,0,2600,208,25,20,1736,12216,0.67,0.83,0.61,0.8,0
22085,26,20,28336,7224,13,8,3880,5544,18,15,7992,3112,19,17,6200,6456,0.91,0.78,0.72,0.76,0
22086,11,6,7224,3880,8,4,6712,2088,15,12,12216,2600,3,0,104,424,0.83,0.77,0.75,0.63,0
22087,22,19,10680,1064,7,2,3368,1992,20,17,1544,12216,13,7,7736,2088,0.66,0.8,0.88,0.71,0
22088,3,0,904,16,26,20,5544,2344,15,12,3752,3880,11,6,5736,4584,0.51,0.63,0.71,0.82,0
22089,15,12,9144,8504,4,0,2216,680,18,15,12576,2856,15,12,5544,4008,0.94,0.74,0.77,0.74,0
22090,8,4,6968,1928,2,0,1288,1160,5,0,504,32,15,9,9912,6712,0.74,0.79,0.5,0.86,0
22091,13,8,6200,536,8,4,5992,2216,10,4,3752,408,11,6,4264,3240,0.61,0.77,0.6,0.73,0
22092,6,1,3496,808,18,14,2600,1544,5,0,3496,568,5,0,3496,568,0.71,0.59,0.73,0.72,0
22093,15,9,6968,1416,11,6,8760,4968,15,9,1416,936,3,0,1032,1320,0.64,0.88,0.56,0.78,0
22094,22,19,14688,11832,11,6,6200,3752,4,0,840,488,10,4,7992,328,0.96,0.77,0.66,0.65,0
22095,4,0,1416,840,6,1,4584,224,15,12,5992,5992,15,10,11064,2216,0.73,0.64,0.81,0.7,0
22096,24,20,12960,11832,4,0,3496,1096,8,4,6200,1352,10,4,5160,3112,0.93,0.81,0.74,0.8,0
